compound_id,base_rdkit_smiles,relation,activity_value
gvk_121938715,Cc1cc2c(=O)[nH]c(-c3cnn(C(C)(C)C)c3)cn2c1,,6.522878745280337
gvk_122322701,CC(C)(O)c1ccc(-c2nn3cc(Cl)cc3c(=O)[nH]2)cc1,,5.522878745280337
Otava_1084099,Cc1oc2ccc(O)cc2c1C(=O)Nc1cc(Cl)ccc1Cl,,4.444
gvk_125398920,COc1cc(C=C2C(=O)N(C)C(=O)N(C)C2=O)cc(CN2CCOCC2)c1O,,7.381638068890122
gvk_125378925,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(c4ccc(O)cc4)CC3)c(O)cc(O)c12,,7.401209493236885
gvk_15327409,CCc1cc(-c2cncc(C(=O)NCC(=O)c3ccccc3)c2)c(C)[nH]c1=O,,6.494850021680094
gvk_124150573,CN1CCCc2c1nc(N1CCN(Cc3ccccc3Cl)CC1)[nH]c2=O,,4.330683119433888
gvk_121050775,O=C1NCCC2c3c(cc(F)cc31)NN2c1ccc([C@@H]2CCCNC2)cc1,>,8.301029995663981
gvk_15329224,Cc1c(Cc2ccc(F)c(C(=O)N3CCn4c(-c5ccc(C(F)(F)F)cc5)n[nH+]c4C3)c2)n[nH]c(=O)c1C,>,5.301029995663981
gvk_15323181,O=C(CN1CCc2ccccc2C1)N1CCc2[nH]c(=O)c3ccccc3c2C1,,5.801342913045577
gvk_121126373,O=c1[nH]c2sc(CN3CCCCC3)cc2c2c(O)cccc12,,8.327902142064282
gvk_15343362,O=c1[nH]nc2c3c(cccc13)Oc1ccc(-c3nc4ccccc4nc3-c3ccccc3)cc1-2,,7.0
gvk_123929545,N#Cc1ccc(N2CCN(C(=O)CCc3nc4cccc(F)c4c(=O)[nH]3)C(CO)C2)nc1,,8.154901959985743
gvk_122700499,NC(=O)c1cccc2[nH]c(N3CCN(c4ncccn4)CC3)nc12,,7.318758762624412
gvk_15065053,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCN(c2ccc(C(F)(F)F)cc2[N+](=O)[O-])CC1,>,8.0
gvk_15327359,CCc1cc(-c2ccc(CN3CCC(c4ccccc4)CC3)s2)c(C)[nH]c1=O,,5.568636235841012
gvk_121295677,COc1ccc(-c2[nH]c(=O)c3cc(F)ccc3c2OCCN)cc1,,7.221848749616356
gvk_122859354,CN(C)Cc1nccn1Cc1ccc(-c2cc3c(C#N)cccc3c(=O)[nH]2)cc1,>,7.301029995663981
CHEMBL552501,CC(C)NS(=O)(=O)c1ccc(NC(=O)Cc2n[nH]c(=O)c3ccccc23)cc1,,6.161150909262744
gvk_517940,O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)C(F)(F)F,,7.886056647693163
gvk_15323514,O=C1CCn2c(-c3cccc(O)c3)nc3cccc1c32,>,5.0
CHEMBL1767061,Cc1cc2c(NC(=O)c3ccccc3)cccc2c(=O)[nH]1,,4.779891911959945
gvk_122347089,COc1cc(N2CCN([C@H]3C=C(c4nc5c(c(=O)[nH]4)CC4(CC5)CC4)CC3)CC2)ccc1F,,9.0
CHEMBL4166130,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2(CNC2)C1,,5.620694482249418
gvk_1202981,O=c1[nH]c(O)nc2ccccc12,,8.096910013008056
gvk_15339254,CCc1cc2ccc(C(C)(C#N)Cc3cccc(CN)c3)cc2[nH]c1=O,,7.3
gvk_15065106,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)c2ccno2)CC1,>,7.698970004336019
gvk_124450928,CN1CC(=O)N([C@H]2c3n[nH]c(=O)c4cc(F)cc(c34)N[C@@H]2c2ccc(F)cc2)C1=O,,8.657577319177793
CHEMBL4592544,CN(C)Cc1ccc(-c2nc3cncc4c3n2CCNC4=O)cc1,,7.552841968657781
gvk_15065140,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)c2sc(-c3ccccc3)nc2C(F)(F)F)CC1,>,8.0
gvk_121514636,CCN1CCP(=O)(c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,>,7.0
gvk_123465484,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)c(F)c1,,9.30102999566398
